Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC Part,Description,KiLib_Generator,LCSC,Manufacturer
"3.3V1, BAT1, RUN1, USB3",4,YLED0805G,LED0805-FD-GREEN,,,,smt,C25170728,,,,
"C14, C15, C22, C23, C26, C55, C56, C57, C58, C59, C60",11,0.1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,Unpolarized capacitor,SMD_2terminal_chip_molded,,
"C16, C18, C31, C40",4,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,Unpolarized capacitor,SMD_2terminal_chip_molded,,
C17,1,10uf_25v,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,Unpolarized capacitor,SMD_2terminal_chip_molded,,
C19,1,470uf,C_Elec_10x10.2,,,,smt,,Polarized capacitor,capacitor/SMD/elec_round,C72518,
C20,1,CA45-D035K226T,CAP-SMD_L7.3-W4.3-R-RD,,CA45-D035K226T,,smt,C126947,,,,湘怡中元/湘江
C21,1,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,Unpolarized capacitor,SMD_2terminal_chip_molded,,
C24,1,47uf,C_Elec_6.3x7.7,,,,smt,,Polarized capacitor,capacitor/SMD/elec_round,C72523,
C25,1,RVT1V221M0810,CAP-SMD_BD8.0-L8.3-W8.3-LS9.1-FD,,RVT1V221M0810,,smt,C3340,220uF 35V,,,HONOR(荣誉)
"C27, C28, C29, C30",4,CL32B106KBJNNNE,C1210,,CL32B106KBJNNNE,,smt,C138687,,,,SAMSUNG(三星)
C53,1,220nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,Unpolarized capacitor,SMD_2terminal_chip_molded,,
"D1, D4",2,SM05.TCT,SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,,SM05.TCT,,smt,C85197,,,,SEMTECH
"D3, D6, D7, D8",4,SS54_C22452,SMA_L4.4-W2.8-LS5.4-R-RD,,SS54,,smt,C22452,SS54,,,MDD(辰达半导体)
D5,1,B330A,SMA_L4.3-W2.6-LS5.1-RD,,B330A,,tht,C52037930,,,,GOODWORK(固得沃克)
GND1,1,PH_GND,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
H2,1,2.54-2*10,HDR-TH_20P-P2.54-V-M-R2-C10-S2.54,,2.54-2*10,,tht,C5116480,,,,ZHOURI(洲日)
INB1,1,INB1,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
INB2,1,INB2,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
L2,1,PSPMAA0805-101M-ANP,IND-SMD_L8.5-W8.0_PCC-M0854M,,,,smt,C2962892,,,,
L4,1,SMDRI127-220MT,IND-SMD_L12.3-W12.3_SMDRI127,,SMDRI127-220MT,,smt,C9905,,,,SXN(顺翔诺)
M_N1,1,M_N,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
M_P1,1,TestPoint,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
PWM1,1,PWM,PinHeader_1x01_P2.00mm_Vertical,,,,tht,,test point,connector/pin_header_socket,,
Q1,1,AO4435_C2944310,SOP-8_L5.0-W3.8-P1.27-LS6.0-BL,,AO4435,,smt,C2944310,,,,UMW(友台半导体)
"Q14, Q16",2,2n3904S-RTK/PS_C18536,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,,,,smt,C18536,,,,
"R11, R12, R24, R26, R29, R31, R35",7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
R13,1,YLRY12-3-60F,R2512,,YLRY12-3-60F,,tht,C22468068,,,,yezhan(业展)
"R14, R15, R17, R22",4,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
R16,1,RC0805FR-07390KL,R0805,,RC0805FR-07390KL,,smt,C137535,,,,YAGEO(国巨)
"R23, R79, R80",3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
R25,1,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
R27,1,41.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,C2077335,
"R28, R32, R33, R34",4,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
R30,1,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
R36,1,30k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,Resistor,SMD_2terminal_chip_molded,,
